wiski_station_no,name,drainage_division,longitude,latitude,name_long,kiwisid,name2,system,river,catchment_area[km2],lake_area[km2],capacity[ML],dead_capacity[ML],accessible_capacity[ML],full_supply_level[AHD],min_supply_level[AHD],year_of_completion,STATE_PROPORTION
w00227-130338A,Glebe Weir,North East Coast,150.034,-25.465,Glebe Weir is located in  Queensland  and in the North-East Coast  drainage division. It is part of the Dawson Valley Water Supply Scheme.,130338A,Glebe Weir,Fitzroy Basin,Dawson River,,,17706,406,17300,170.54,160.66,1971,Queensland
w00227-130350B,Moura Weir,North East Coast,149.902,-24.59,Moura Weir is located in  Queensland  and in the North-East Coast  drainage division. It is part of the Dawson Valley Water Supply Scheme.,130350B,Moura Weir,Fitzroy Basin,Dawson River,,,7700,599.35,7100.65,104.75,97,1946,Queensland
w00227-130351A,Moura Offstream Storage,North East Coast,149.971,-24.607,Moura Offstream Storage is located in Queensland  and in the  North-East Coast drainage division. This offstream storage was constructed in preference to instream weir options at Nunns Crossing and Paranui Weir to minimise environmental impacts.,130351A,Moura Offstream Storage,Fitzroy Basin,,,,2820,140,2680,125.29,118.6,,Queensland
w00227-130354A,Gyranda Weir,North East Coast,150.175,-25.283,Gyranda Weir is located in  Queensland  and in the  North-East Coast  drainage division. It is part of the Dawson Valley Water Supply Scheme.,130354A,Gyranda Weir,Fitzroy Basin,Dawson River,,,16482.3,2014.618,14467.682,157.25,150.08,1987,Queensland
w00227-130360A,Kroombit,North East Coast,150.783,-24.421,Kroombit Dam is located in  Queensland  and the North-East Coast  drainage division.,130360A,Kroombit,Fitzroy Basin,Kroombit Creek,,,14600,30.3,14569.7,265.8,251.3,1992,Queensland
w00227-135008A,Bucca Weir,North East Coast,152.073,-24.858,Bucca Weir is located in  Queensland  and in the North East Coast  drainage division.,135008A,Bucca Weir,Burnett Basin,Kolan River,,,11605,891.95,10713.05,16.2,8.95,1987,Queensland
w00227-135009A,Fred Haigh,North East Coast,151.805,-24.817,"Fred Haigh Dam, which forms Lake Monduran, is located in the state of  Queensland  and in the North-East Coast  drainage division. It has significantly reduced the frequency and severity of floods in lower reaches of the Kolan river.",135009A,Fred Haigh,Burnett Basin,Kolan River,,,562045,4369.68,557675.32,75.56,42.63,1975,Queensland
w00227-135010B,Kolan Barrage,North East Coast,152.168,-24.731,Kolan Barrage is located in  Queensland  and in the North East Coast  North-East Coast  drainage division.,135010B,Kolan Barrage,Burnett Basin,Kolan River,,,4020,1667.8,2352.2,2.32,0.94,1973,Queensland
w00227-136003C,Claude Wharton Weir,North East Coast,151.601,-25.617,"Claude Wharton Weir, also known as Gayndah Reservoir, is located in  Queensland  and in the North-East Coast  drainage division. It is part of the Upper Burnett River Water Supply Scheme.",136003C,Claude Wharton Weir,Burnett Basin,Burnett River,,,12800,85.6,12714.4,94.4,86.5,1987,Queensland
w00227-136020A,Ben Anderson Barrage,North East Coast,152.253,-24.932,Ben Anderson Barrage is located in  Queensland and in the  North-East Coast  drainage division.,136020A,Ben Anderson Barrage,Burnett Basin,,,,30300,6649,23651,3.97,0,1976,Queensland
w00227-136023A,Ned Churchward Weir,North East Coast,152.098,-25.053,Ned Churchward Weir is located in  Queensland and in the  North-East Coast  drainage division. It is also known as the Walla Weir.,136023A,Ned Churchward Weir,Burnett Basin,Burnett River,,,29508,2596.9,26911.1,19,10.8,1998,Queensland
w00227-136024A,Paradise,North East Coast,151.918,-25.35,"Paradise is located in  Queensland  and in the North-East Coast  drainage division. Being the first and largest component of the Burnett Water Infrastructure Project, the Paradise Dam was the focus of a number of environmental monitoring programs.",136024A,Paradise,Burnett Basin,,,,300558.6,13308.9,287249.7,67.6,42,2005,Queensland
w00227-136113A,Wuruma,North East Coast,150.975,-25.155,Wuruma Dam is located in  Queensland  and in the  North-East Coast  drainage division. It constitutes the first stage of the Upper Burnett River Water Supply Scheme.,136113A,Wuruma,Burnett Basin,,,,165411,2432.3,162978.7,228.29,200.75,1968,Queensland
w00227-136115A,Cania,North East Coast,150.982,-24.627,Cania Dam is located in  Queensland  and in the North-East Coast  drainage division. It was contributes to the Three Moon Creek Water Supply Scheme.,136115A,Cania,Burnett Basin,Three Moon Creek,,,88580,644.7,87935.3,331,300,1982,Queensland
w00227-136120A,John Goleby Weir,North East Coast,151.147,-25.256,John Goleby Weir is located in  Queensland  and in the  North-East Coast  drainage division. It is part of the Upper Burnett Water Supply Scheme.,136120A,John Goleby Weir,Burnett Basin,Burnett River,,,1691.3,159,1532.3,167.8,163,1986,Queensland
w00227-136121A,Kirar Weir,North East Coast,151.086,-25.371,Kirar Weir is located in  Queensland  and in the North-East Coast  drainage division.,136121A,Kirar Weir,Burnett Basin,,,,9541.1,12.1,9529,153,142.5,2005,Queensland
w00227-136210A,Bjelke-Petersen,North East Coast,152.002,-26.368,"Lake Barambah, which is impounded by Bjelke-Petersen dam, is located in  Queensland  and in the  North-East Coast  drainage division. It is the main water storage from the Barker-Barambah Water Supply Scheme.",136210A,Bjelke-Petersen,Burnett Basin,Barker Creek,,,134900,1022.15,133877.85,307.3,289.9,1988,Queensland
w00227-136316A,Lake Boondooma,North East Coast,151.397,-26.146,Lake Boondooma is located in  Queensland  and in the  North-East Coast  drainage division. It is part of the Boyne River and Tarong Water Supply Scheme.,136316A,Lake Boondooma,Burnett Basin,Boyne River,,,204200,8358.8,195841.2,280.4,252,1982,Queensland
w00227-138008A,Tinana Barrage,North East Coast,152.716,-25.574,Tinana Barrage is located in  Queensland  and in the  North-East Coast  drainage division. It is part of the Mary River Water Supply Scheme.,138008A,Tinana Barrage,Mary Basin,Tinana Creek,87,,4750,2015,2735,2.5,-0.5,1980,Queensland
w00227-138013B,Mary Barrage,North East Coast,152.624,-25.591,Mary Barrage is located in  Queensland  and in the  North-East Coast  drainage division. It is part of the Mary River Water Supply Scheme.,138013B,Mary Barrage,Mary Basin,Mary River,,,12000,5046.3,6953.7,2.9,0.15,1983,Queensland
w00227-416409A,Coolmunda,Murray Darling Basin,151.229,-28.445,Coolmunda Dam is located in  Queensland  and in the  Murray-Darling  Basin drainage division. Coolmunda Dam is a zoned earth and rockfill wall structure with a concrete spillway.,416409A,Coolmunda,QLD Border Rivers (SS24),Macintyre Brook,,,69060,214.77,68845.23,314.07,301.21,1968,Queensland
w00227-4222007A,Moolabah Weir,Murray Darling Basin,148.719,-27.983,Moolabah Weir is located in  Queensland  and in the  Murray-Darling  Basin drainage division. It is part of the St George Water Supply Scheme.,4222007A,Moolabah Weir,Condamine-Balonne (SS26),,,,2580,434.4,2145.6,201.3,197.67,1969,Queensland
w00227-4222008A,Buckinbah Weir,Murray Darling Basin,148.766,-28.089,Buckinbah Weir is located in  Queensland  and in the  Murray-Darling  Basin drainage division. It is part of the St George Water Supply Scheme.,4222008A,Buckinbah Weir,Condamine-Balonne (SS26),,,,5120,775,4345,198.44,194.93,1968,Queensland
w00227-422212B,Beardmore,Murray Darling Basin,148.668,-27.828,"Lake Kajarabie, which is impounded by Beardmore Dam, is located in  Queensland  and in the  Murray-Darling  Basin drainage division. Releases from the dam can be made to both the Balonne River and Thuraggi Watercourse as required.",422212B,Beardmore,Condamine-Balonne (SS26),Balonne River,,,81700,1537.14,80162.86,207.12,196.15,1972,Queensland
w00227-422214A,Jack Taylor Weir,Murray Darling Basin,148.572,-28.039,Jack Taylor Weir is located in  Queensland  and in the  Murray-Darling  Basin drainage division. Approval to establish the St George Irrigation Area was granted based on water supply from Jack Taylor Weir in 1953.,422214A,Jack Taylor Weir,Condamine-Balonne (SS26),Balonne River,,,10270,203.48,10066.52,194.02,187.24,1953,Queensland
w00227-422315B,Leslie,Murray Darling Basin,151.905,-28.236,Leslie Dam is located in  Queensland  and in the Murray-Darling  Basin drainage division. It is the major storage in the Upper Condamine Water Supply Scheme.,422315B,Leslie,Condamine-Balonne (SS26),Sandy Creek,,,106250,2123.37,104126.63,472.41,453.66,1965,Queensland
w00227-422358B,Chinchilla Weir,Murray Darling Basin,150.529,-26.803,Chinchilla Weir is located in  Queensland  and in the  Murray-Darling  drainage division. Chinchilla Weir is a concrete faced earthfill structure.,422358B,Chinchilla Weir,Condamine-Balonne (SS26),Condamine River,,,9780,117.705,9662.295,295.74,287.52,1974,Queensland
w00227-913015B,Julius,Carpentaria Coast,139.733,-20.191,"Julius Dam is located in  Queensland  and in the Gulf of Carpentaria  drainage division. The dam is a multiple arch structure, unique in Queensland. It is 20 metres high but contains less than 2000 cubic metres of concrete.",913015B,Leichhardt R at Julius Dam HW (boat ramp),Mitchell,Leichhardt River,,,107500,8182.97,99317.03,223.54,207.69,1976,Queensland
w00231-212205,Nepean,South East Coast (NSW),150.593,-34.36,"Nepean is located in  New South Wales  and in the  South-East Coast  drainage division. Construction of the dam was interrupted by the depression and was completed in 1935. Due to extremely low rainfall, it took three years for the storage to fill.",212205.1,Nepean,Sydney South Coast,Nepean River,320,3.3,68100,370,67730,317.25,265.3,1935,New South Wales
w00231-212211,Avon,South East Coast (NSW),150.676,-34.42,Avon is located in  New South Wales  and in the South-East Coast  drainage division.,212211.1,Avon,North Coast,Avon River,142,10.5,214360,67666.2,146693.8,320.18,301,1928,New South Wales
w00231-212212,Wingecarribee,South East Coast (NSW),150.498,-34.556,Wingecarribee Reservoir is located in  New South Wales  and in the  South-East Coast drainage division. Wingecaribee Reservoir lost about 9000 ML of storage capacity due to the inflow of peat from the Wingecaribee Swamp collapse in August 1998.,212212.1,Wingecarribee,Sydney South Coast,Wingecarribee River,40,6.3,25875,1754,24121,677.52,669.02,1974,New South Wales
w00231-212220,Cordeaux,South East Coast (NSW),150.766,-34.371,Cordeaux is located in  New South Wales  and in the  South-East Coast  drainage division.,212220.1,Cordeaux,Sydney South Coast,Cordeaux River,91,7.8,93640,0,93640,303.73,258.33,1926,New South Wales
w00231-212232,Cataract,South East Coast (NSW),150.82,-34.296,Cataract is located in  New South Wales  and in the  South-East Coast  drainage division. The dam cost about $1.3 million and was the first in Australia to use pre-cast moulded concrete blocks for construction of the upstream face.,212232.1,Cataract,Sydney South Coast,Cataract River,130,8.5,94300,180,94120,289.87,252.87,1907,New South Wales
w00231-212243,Warragamba,South East Coast (NSW),150.422,-33.993,"Warragamba Dam, also known as Lake Burragorang, is located in  New South Wales and in the  South-East Coast  drainage division. Lake Burragorang is the largest urban water supply storage in Australia and accounts for approximately 80% of the Sydney region's water supply.",212243.1,Warragamba,Sydney South Coast,Warragamba River,9051,75,2031000,3997.178,2027002.822,116.72,35.08,1960,New South Wales
w00231-212281,Middle Cascade,South East Coast (NSW),150.303,-33.69,"Middle Cascade, also known as Cascade No. 1, is located in  New South Wales  and in the  South-East Coast  drainage division. This storage is one of the five Blue Mountains dams, the others being: Lower and Upper Cascade, Lake Medlow and Greaves Creek.",212281.1,Middle Cascade,Sydney South Coast,Cascade Creek,,,160,0,160,952.463,939.06,1885,New South Wales
w00231-212282,Lower Cascade,South East Coast (NSW),150.304,-33.685,"Lower Cascade, also known as Cascade No. 2, is located in  New South Wales  and in the  South-East Coast  drainage division. This storage is one of the five Blue Mountains dams, the others being: Middle and Upper Cascade, Lake Medlow and Greaves Creek.",212282.1,Lower Cascade,Sydney South Coast,Cascade Creek,,,317.82,0,317.82,926.144,907.05,1908,New South Wales
w00231-212283,Upper Cascade,South East Coast (NSW),150.3,-33.695,"Upper Cascade, also known as Cascade No. 3, is located in  New South Wales  and in the  South-East Coast  drainage division. This storage is one of the five Blue Mountains dams, the others being: Lower and Middle Cascade, Lake Medlow and Greaves Creek.",212283.1,Upper Cascade,Sydney South Coast,Cascade Creek,,,1704,0,1704,975.875,953.48,1926,New South Wales
w00231-212284,Lake Medlow,South East Coast (NSW),150.297,-33.658,"Lake Medlow is located in  New South Wales  and in the  South-East Coast  drainage division. Initially known as Adams Creek Dam, Lake Medlow is reputedly one of the thinnest dams in the world. It is one of the five Blue Mountains dams along with Greaves Creek and the Upper, Middle and Lower Cascades.",212284.1,Lake Medlow,Sydney South Coast,Adams Creek,,,297,0,297,929.9,914,1907,New South Wales
w00231-212285,Greaves Creek,South East Coast (NSW),150.307,-33.656,"Lake Greaves, also known as Greaves Creek, is located in  New South Wales  and in the  South-East Coast  drainage division. It is one of the five Blue Mountains dams along with Lake Medlow and the Upper, Middle and Lower Cascades.",212285.1,Greaves Creek,Sydney South Coast,Greaves Creek,,,311,0,311,885.755,873.4,1942,New South Wales
w00231-213210,Woronora,South East Coast (NSW),150.947,-34.139,"Woronora is located in  New South Wales  and in the  South-East Coast  drainage division. Woronora collects water from the Woronora River catachment, which drains into the storage and then into Botany Bay.",213210.1,Woronora,Sydney South Coast,Woronora River,75,4,71790,0,71790,168.88,117.8,1941,New South Wales
w00231-213240,Prospect,South East Coast (NSW),150.892,-33.82,"Prospect Reservoir is located in  New South Wales  and in the  South-East Coast  drainage division. Prospect Reservoir is the oldest storage in the Sydney water supply system and was completed in 1888. At one stage during construction, Sydney had only ten days water supply left.",213240.3,Prospect,Sydney South Coast,Prospect Creek,,,48224,14885,33339,60.43,51.43,1888,New South Wales
w00231-215212,Tallowa,South East Coast (NSW),150.345,-34.749,"Tallowa, also known as Lake Yarrunga, is located in  New South Wales  and in the  South-East Coast  drainage division. The available volume reported for Tallowa only represents the water available for transfer to Sydney and the Illawarra. The entire accessible storage capacity of Tallowa is 83,190 ML, this also includes water for Shoalhaven City Council and environmental releases to the Shoalhaven River.",215212.1,Tallowa,Sydney South Coast,Shoalhaven River,5750,9.3,90000,54700,35300,56.34,51.158,1976,New South Wales
w00231-215235,Fitzroy Falls,South East Coast (NSW),150.498,-34.642,Fitzroy Falls Reservoir is located in  New South Wales  and in the  South-East Coast  drainage division. Fitzroy Falls consists of four separate earth and rockfill embankments.,215235.1,Fitzroy Falls,Sydney South Coast,Yarrunga Creek,31,5.2,23554,13500,10054,663.5,661.37,1974,New South Wales
w00238-69,Cooby Creek,Murray Darling Basin,151.941,-27.385,"Cooby Reservoir is located in  Queensland  and in the  Murray-Darling  drainage division. Cooby Reservoir is the oldest of Toowoomba City''s three water supply reservoirs, constructed during the period 1938-41. The dam is located north of Toowoomba on Cooby Creek, a tributary of the Condamine River.",69,Cooby Creek,Condamine-Balonne (SS26),Cooby Creek,159,0.306,23104.6,2092,21012.6,478.54,466,1941,Queensland
w00238-70,Cressbrook Creek,North East Coast,152.198,-27.258,"Cressbrook Reservoir is located in  Queensland and in the  North East Coast  drainage division. Cressbrook is located on Cressbrook Creek approximately 10 km downstream of Perseverance. Water in the reservoir is supplied by inflows from Cressbrook Creek as well as transfers from Wivenhoe, which are lifted more than 200m. Water from Cressbrook is then lifted a further 425m to supply to the city of Toowoomba.",70,Cressbrook Creek,Moreton,Cressbrook Creek,326,0.517,81842,2992,78850,280,250,1983,Queensland
w00238-71,Perseverance,North East Coast,152.126,-27.302,"Perseverance Reservoir is located in Queensland  and in the  North East Coast drainage division. Perseverance Reservoir is the second largest and the second oldest of Toowoomba City's three water supply reservoirs. Constructed over the period from 1962-65, the dam is located northeast of Toowoomba on Perseverance Creek, a tributary of Cressbrook Creek.",71,Perseverance,Moreton,Perseverance Creek,108.7,0.25,30140,3472,26668,446.08,423,1965,Queensland
w00241-9573,Lake Ross,North East Coast,146.737,-19.41,"Lake Ross is located in  Queensland  and in the North East Coast  drainage division. Lake Ross is the largest of Townsville City's water supply storages. Its supply is supplemented by a pipeline from Burdekin Falls, which was constructed in 1980.",9573,Lake Ross,Barron,Ross River,750,5.689,70169,1458,68711,34.6,25,1971,Queensland
w00241-9575,Lake Paluma,North East Coast,146.147,-18.955,Lake Paluma is located in  Queensland  and in the  North East Coast  drainage division. Lake Paluma supplements the Crystal Creek catchment to supply the city of Townsville via the Mount Spec pipeline.,9575,Lake Paluma,Burdekin Basin,Swamp Creek,9.8,0.211,11496.15,80,11416.15,894.35,881.55,1958,Queensland
w00247-ODSS_12030_STAMN,Mundaring,South West Coast,116.215,-31.991,"Mundaring, also known as Helena River Reservoir, is located in  Western Australia  and in the  South-West Coast  drainage division. Mundaring Weir was built in 1903 to supply water to the Goldfields and it didn't begin supplying water to Perth, until 1951.",ODSS_12030_STAMN.1,Mundaring,Perth,Helena River,1470,0.676,63596.85,16700,46896.85,137.4,126.5,1902,Western Australia
w00247-ODSS_18325_WSLAHD,Ten Mile Brook,South West Coast,115.125,-33.964,Ten Mile Brook is located in  Western Australia and in the  South-West Coast  drainage division. Ten Mile Brook dam was named after the tiny brook dammed in the mid-1990s to create a new water supply for the quickly growing Margaret River.,ODSS_18325_WSLAHD.1,Ten Mile Brook,Busselton Coast,Ten Mile Brook,10,0.275,1691.14,55.516,1635.624,87,75.68,1994,Western Australia
w00247-ODSS_18326_WSLAHD,Samson Brook,South West Coast,116.03,-32.884,Samson Brook is located in  Western Australia and in the  South-West Coast  drainage division.,ODSS_18326_WSLAHD.1,Samson Brook,Harvey,Samson Brook,65,0.097,7993.42,91.08,7902.34,245.07,223,1941,Western Australia
w00247-ODSS_21139_WSLAHD,Serpentine,South West Coast,116.152,-32.46,Serpentine Reservoir is located in  Western Australia  and in the  South West Coast  drainage division.,ODSS_21139_WSLAHD.1,Serpentine Main Dam WSL - Ranger,Serpentine River Catchment,Serpentine River,664,1.067,137667.05,1009.02,136658.03,212.39,177,1961,Western Australia
w00247-ODSS_45529_WSLAHD,Canning,South West Coast,116.139,-32.177,Canning Reservoir is located in  Western Australia  and in the  South-West Coast  drainage division.,ODSS_45529_WSLAHD.1,Canning,Canning River,Canning River,789,0.501,90353.02,63.72,90289.3,204.46,147.23,1940,Western Australia
w00247-ODSS_45531_WSLAHD,North Dandalup,South West Coast,116.028,-32.517,North Dandalup Reservoir is located in  Western Australia  and in the  South West Coast  drainage division.,ODSS_45531_WSLAHD.1,North Dandalup,Dandalup River System,North Dandalup River,153,0.506,74849.33,1018.84,73830.49,219,182,1994,Western Australia
w00247-ODSS_45532_WSLAHD,Stirling,South West Coast,116.046,-33.107,"Stirling Reservoir is located in  Western Australia  and in the  South-West Coast  drainage division. In 2001, Perth's water supply was boosted by 10 per cent, with completion of a 106km pipeline from Stirling Reservoir east of Harvey to the Tamworth Hill Reservoir near Rockingham.",ODSS_45532_WSLAHD.1,Stirling,Harvey,Harvey River,251,0.381,56083.87,1794.75,54289.12,158.45,130.9,1948,Western Australia
w00247-ODSS_45533_WSLAHD,Victoria,South West Coast,116.075,-32.044,Victoria Dam is located in  Western Australia and in the  South-West Coast  drainage division. Construction of the Victoria Dam in 1891 was the first step towards providing Perth with a reliable water supply.,ODSS_45533_WSLAHD.1,Victoria,Perth,Munday Brook,37,0.077,9463.32,46.55,9416.77,202,172.98,1991,Western Australia
w00247-ODSS_46394_WSLAHD,Waroona,South West Coast,115.997,-32.848,"Waroona, also known as Lake Navarino, is located in  Western Australia  and in the  South-West Coast  drainage division. Waroona Dam, originally Drakes Brook Dam, was built in 1931 32 under the guidance of the Waroona Irrigation District by unemployed people on work programs during the Great Depression.",ODSS_46394_WSLAHD.1,Waroona Dam Water Level,Waroona,Drakes Brook,42,0.148,14972.63,169.97,14802.66,211.08,184.55,1966,Western Australia
w00247-ODSS_46616_WSLAHD,Harding,Pilbara Gascoyne,117.116,-21.012,"Harding Dam, also known as Lake Poongkaliyarra, is located in  Western Australia and in the  Pilbara-Gascoye  drainage division.",ODSS_46616_WSLAHD.1,Harding Dam Water Levels - Site Readings,Pilbara,Harding River,1071,14.1,63803.96,326.12,63477.84,60,42.78,,Western Australia
w00247-ODSS_47683_WSLAHD,Glen Mervyn,South West Coast,116.1,-33.498,"Glen Mervyn is located in Western Australia and in the South West Coast drainage division. Completed in 1969, the Glen Mervyn Dam is on Lyalls Mill Stream a tributary of the Preston River.",ODSS_47683_WSLAHD.1,Glen Mervyn,Collie,McCallum Creek,34,0.389,2054.09,0.68,2053.41,201.5,187,1969,Western Australia
w00247-ODSS_47866_WSLAHD,Harvey,South West Coast,115.951,-33.079,"Harvey Dam is located in  Western Australia  and in the  South-West Coast  drainage division. The original Harvey Weir was part of the first irrigation scheme in Western Australia, and only the sixth public dam developed in the State.",ODSS_47866_WSLAHD.1,Harvey,Harvey,Harvey River,553,0.15,56441.61,774.52,55667.09,78,53.9,2002,Western Australia
w00247-ODSS_51192_WSLAHD,Quickup,South West Coast,117.386,-34.899,Quickup Dam is located in  Western Australia and in the  South West Coast  drainage division.,ODSS_51192_WSLAHD.1,Quickup,Blackwood,Quickup River,30,0.051,1189.38,110.93,1078.45,45,41,1989,Western Australia
w00247-ODSS_53443_WSLAHD,Churchman Brook,South West Coast,116.081,-32.153,Churchman Brook Reservoir is located in Western Australia  and in the  South-West Coast drainage division.,ODSS_53443_WSLAHD.1,Churchman Brook,Canning River,Churchman Brook,16,0.024,2241.06,37.12,2203.94,203.57,186.1,1928,Western Australia
w00247-ODSS_55089_WSLAHD,Moochalabra,Tanami Timor Sea Coast,128.103,-15.618,Moochalabra Dam is located in  Western Australia  and in the  Timor Sea  drainage division.,ODSS_55089_WSLAHD.1,Moochalabra,Pentecost and King River,Moochalabra Creek,,,2023.13,174.93,1848.2,25.56,13.58,,Western Australia
w00247-ODSS_56221_WSLAHD,Harris,South West Coast,116.139,-33.215,"Harris River Dam, also known as Lake Ballingall, is located in  Western Australia  and in the  South-West Coast  drainage division. Before the dam was built, the local communities were served by the Wellington Dam on the Collie River, which developed problems with salinity (salt).",ODSS_56221_WSLAHD.1,Harris,Collie,Harris River,321,9.575,71508.16,1038.18,70469.98,223.5,205.1,1990,Western Australia
w00247-ODSS_56581_WSLAHD,Manjimup,South West Coast,116.046,-34.279,Scabby Gully Dam is located in  Western Australia  and in the  South West Coast  drainage division.,ODSS_56581_WSLAHD.1,Manjimup,Warren River and Tributaries,,9,0.264,1607.52,36.01,1571.51,221,210,1967,Western Australia
w00247-ODSS_57330_WSLAHD,Logue Brook,South West Coast,115.973,-32.998,"Logue Brook, also known as Lake Brockman, is located in  Western Australia  and in the  South-West Coast  drainage division.",ODSS_57330_WSLAHD.1,Logue Brook,Harvey,Logue Brook,39,0.201,24591.81,379.86,24211.95,235.49,204.48,1963,Western Australia
w00247-ODSS_57568_WSLAHD,Serpentine Pipehead,South West Coast,116.074,-32.385,Serpentine Pipehead is located in  Western Australia  and in the  South West Coast  drainage division.,ODSS_57568_WSLAHD.1,Serpentine Pipehead,Serpentine River Catchment,Serpentine River,692,0.068,2625.22,459.67,2165.55,165.51,159.75,1957,Western Australia
w00247-ODSS_57569_WSLAHD,South Dandalup,South West Coast,116.1,-32.676,South Dandalup is located in  Western Australia and in the  South West Coast  drainage division. South Dandalup Dam is the biggest dam supplying water to Perth.,ODSS_57569_WSLAHD.1,South Dandalup,Dandalup River System,South Dandalup River,311,2.122,138009.87,12937.27,125072.6,252.82,237.45,1974,Western Australia
w00247-ODSS_57570_WSLAHD,Wungong,South West Coast,116.08,-32.22,Wungong Reservoir is located in  Western Australia  and in the  South-West Coast  drainage division.,ODSS_57570_WSLAHD.1,Wungong,Perth,Wungong Brook,130,0.33,59795.87,3430.71,56365.16,199.92,168.58,1979,Western Australia
w00247-ODSS_57614_WSLAHD,Wellington,South West Coast,116.01,-33.386,Wellington Reservoir is located in  Western Australia  and in the  South-West Coast  drainage division.,ODSS_57614_WSLAHD.1,Wellington,Collie,Collie River,2567,1.6,184916.22,1013.814,183902.406,166.56,139.714,1933,Western Australia
w00247-ODSS_58794_WSLAHD,Argyle (Ord River),Tanami Timor Sea Coast,128.733,-16.114,"Lake Argyle, also known as the Ord River Dam, is located in  Western Australia  and in the  Timor Sea  drainage division.",ODSS_58794_WSLAHD.1,Argyle (Ord River),Ord River and Tributaries,Ord River,46100,70.3,10755830,324000,10431830,92.22,68.56,1971,Western Australia
w00247-ODSS_58804_WSLAHD,Drakes Brook,South West Coast,115.953,-32.858,"Drakes Brook, also known as Lake Moyanup, is located in  Western Australia  and in the  South-West Coast  drainage division.",ODSS_58804_WSLAHD.1,Drakes Brook,Waroona,Drakes Brook,59,0.417,2293,20,2273,71.15,59,1931,Western Australia
w00247-PI_358347,Kununurra Diversion,Tanami Timor Sea Coast,128.695,-15.792,Kununurra Diversion is located in  Western Australia  and in the  Timor Sea  drainage division.,PI_358347.1,Kununurra Diversion,Ord River and Tributaries,Ord River,,,100825,87000,13825,41.76,41,,Western Australia
w00257-DAM_MARDI,Mardi,South East Coast (NSW),151.388,-33.296,Mardi is located in  New South Wales  and in the South East Coast  drainage division. Mardi supplies both Gosford City and the Wyong Shire Council residents. It stores water extracted from Wyong River and Ourimbah Creek. Water is also pumped from Mardi to supplement Margrove Creek via the Mardi-Mangrove Link pipeline.,DAM_MARDI.1,Mardi,Hunter,Off-stream,1.8,0.068,7400,925.034,6474.966,40.77,26,1963,New South Wales
